year,k,cv_auc_mean,cv_auc_std,cv_pr_auc_mean,cv_pr_auc_std,aic,bic,pseudo_r2_mcfadden,n_obs,n_cases,n_encoded_features,n_continuous,n_binary,n_onehot,n_target_encoded,converged,runtime_seconds,variables
2017,1,0.715336490818784,0.008536840704349251,0.003478175374490724,0.0001515921522516947,39552.18304039462,39577.18816881589,0.02674989744208567,1987850,2669,1,1,0,0,0,True,3.7,I10_NPR
2017,2,0.7152511126649511,0.008734294121752046,0.0038230797322372735,0.00016552127696225385,39484.01741234928,39521.52510498119,0.028476619112747903,1987850,2669,2,2,0,0,0,True,4.5,"I10_NPR, I10_NDX"
2017,3,0.8468380250508037,0.009814577036097855,0.008777595937168071,0.0006021561790506922,36088.75429806475,36138.76455490729,0.11208062870824542,1987850,2669,3,3,0,0,0,True,5.6,"I10_NPR, I10_NDX, AGE"
2017,4,0.8540058791039413,0.010042834054304554,0.008558903485469904,0.0004912371374159626,36083.93049439661,36146.44331544979,0.11224855722251026,1987850,2669,4,4,0,0,0,True,8.1,"I10_NPR, I10_NDX, AGE, LOS"
2017,5,0.8661604852734726,0.008903847995879413,0.010042308252855748,0.0005173085925102907,35211.72091113109,35286.7362963949,0.13376217684193115,1987850,2669,5,4,1,0,0,True,9.0,"I10_NPR, I10_NDX, AGE, LOS, ELECTIVE"
2017,6,0.8733767970763268,0.007745291633194941,0.010605988346427786,0.0006178162585849652,34908.16078478964,34995.67873426409,0.1412817744931223,1987850,2669,6,4,2,0,0,True,11.4,"I10_NPR, I10_NDX, AGE, LOS, ELECTIVE, FEMALE"
2017,7,0.8761478941892816,0.007593482735840695,0.011195526870989675,0.0006535992108955801,34673.41557983933,34860.95404299887,0.14745241945510512,1987850,2669,14,4,2,1,0,True,24.5,"I10_NPR, I10_NDX, AGE, LOS, ELECTIVE, FEMALE, PAY1"
2017,8,0.8760269773550615,0.007596918017381174,0.011185613065789473,0.000651880030893406,34676.49834232629,34876.53936969646,0.14742577351032438,1987850,2669,15,4,3,1,0,True,25.5,"I10_NPR, I10_NDX, AGE, LOS, ELECTIVE, FEMALE, PAY1, HCUP_ED"
2017,9,0.8766724469860039,0.006866675397983979,0.011275889318411964,0.0006423812405255332,34625.54742449164,34838.091016072445,0.14872885451812867,1987850,2669,16,4,4,1,0,True,26.2,"I10_NPR, I10_NDX, AGE, LOS, ELECTIVE, FEMALE, PAY1, HCUP_ED, AWEEKEND"
2017,10,0.877240860029627,0.007003341008696938,0.011271706443775573,0.0006537228829373373,34620.95490791291,34908.51388475753,0.1491371834784112,1987850,2669,22,4,4,2,0,True,32.9,"I10_NPR, I10_NDX, AGE, LOS, ELECTIVE, FEMALE, PAY1, HCUP_ED, AWEEKEND, ZIPINC_QRTL"
2017,11,0.8774004952804628,0.007057185197065731,0.011308321104552602,0.0006847318731265376,34608.87105925505,34908.932600310305,0.1494837760674227,1987850,2669,23,4,5,2,0,True,27.9,"I10_NPR, I10_NDX, AGE, LOS, ELECTIVE, FEMALE, PAY1, HCUP_ED, AWEEKEND, ZIPINC_QRTL, TRAN_IN"
2017,12,0.8769247555454023,0.00658519588176143,0.011254723515842238,0.0006820658322385418,34634.00670920705,35096.60158500057,0.14950504705152823,1987850,2669,36,4,5,3,0,True,41.6,"I10_NPR, I10_NDX, AGE, LOS, ELECTIVE, FEMALE, PAY1, HCUP_ED, AWEEKEND, ZIPINC_QRTL, TRAN_IN, AMONTH"
2017,13,0.8768889253020651,0.006864444161209431,0.011246361979481858,0.0006709506255307882,34644.7142276006,35169.82192444729,0.14948763557276634,1987850,2669,41,4,5,4,0,True,44.6,"I10_NPR, I10_NDX, AGE, LOS, ELECTIVE, FEMALE, PAY1, HCUP_ED, AWEEKEND, ZIPINC_QRTL, TRAN_IN, AMONTH, DQTR"
