year,best_k_by_auc,best_auc,best_k_by_bic,auc_at_best_bic_k,elbow_k,auc_at_elbow_k,n_variables_available
2016,13,0.9979,7,0.9978,7,0.9978,17
2017,12,0.9977,10,0.9977,7,0.9976,17
2018,14,0.9977,10,0.9977,7,0.9976,17
2019,13,0.9977,12,0.9977,7,0.9975,19
2020,15,0.9979,6,0.9977,6,0.9977,19
2022,15,0.9977,6,0.9976,6,0.9976,19
2023,17,0.9976,6,0.9974,6,0.9974,20
